title,product,rating,text,rew_body,reviews
Powertron 72200 3.5 VOLT BATTERY FOR WELCH ALLYN 1375 MAH,Electronics,1,"While the battery arrived in a timely manner, it would not hold a charge.  It is worthless.  Ended up buying a brand name battery, which I should have done in the first place.",-0.4404,negative
AmazonBasics Ultra Thin Indoor HDTV Antenna,Electronics,4,"Does a good job of pulling in 30+ channels.  Strangely, I have found I get the best reception with the TV sitting on my dresser and the antenna taped to the dresser mirror! If I put it onto the wall to either side of the mirror, or even above the mirror on the wall, I lose a few channels.  We have local CBS, ABC, and PBS stations and the other broadcast stations such as FOX about 50 miles away and the antenna pulls them in really well.  I am pleased with this item.",0.831,positive
Clip Plus 4 GB MP3 Player (Black),Electronics,5,The Sansa Clip + is just awesome.  It has a really long charge.  I think I've charged it once in the past 2 months.  The sound is really good.  It's a good buy for the price.,0.8553,positive
Bose UFS-20 Universal Floor Stands (pair),Electronics,5,Quality stands.,0,neutral
Sony MDRZX100 Headphones,Electronics,3,"These were very good headphones for a while, but after only 6 months, the sound on one side went out completely. That said, I'll be buying a new pair to replace them because while they worked, they worked well, and for the price they're hard to beat.",0.4848,positive
"BUSlink XL-5100 / F93087600 UHP TV LAMP REPLACEMENT FOR SONY KDS-R50XBR1, KDS-R60XBR1, KS-50R200A, KS-60R200A, KS-50R200A, K",Electronics,1,I purchased this lamp 3 weeks ago I have used it for maybe one and a half weeks and already burned out sucks.,-0.3612,negative
"4 pairs - Childrens Passive 3D Glasses for Kids Genuine Ultimate 3D Heaven Sealed RealD Compatible Circular Polarized 3D Glasses for Passive 3D TV's Televisions from Vizio, Toshiba, LG, Philips and JVC and for use in Real-D Theaters",Electronics,5,Fits great and works just like the ones bought with the TV,0.765,positive
Yurbuds Inspire Duro Headphones,Electronics,3,"Would not buy again. Ear \\""adaptors\\"" fall off/pull off easily, rendering product practically useless unless you order more ear pieces, microphone is really scratchy-ppl cannot understand wht im saying. Earphone cords tangle seemingly without touching them and do not untangle easily. Very little good abt this product except they do not fall out while running.",0.1152,positive
Emotiva UPA-200 2-Channel Amplifier,Electronics,5,awsome amp for my front two floor speakers in my 9.3 channel set up.,0,neutral
Memorex Sport Boombox,Electronics,5,"The boom box works as advertised.  Produces decent sound for the $s, plays every CD and MP3 CD I have thrown at it.  I am going to purchase another one.  This form factor is going away and being replaced by the iPod dock, which I don't care for.",-0.1601,negative
Pioneer VSX-820-K 5.1 Home Theater Receiver (Discontinued by Manufacturer),Electronics,1,"[[ASIN:B0039XQL2G Pioneer VSX-820-K 5.1 Home Theater Receiver]]<br />First one I ordered didn't work and sent it back.  Second one did better for 6 months and then gradually all the HDMI connections didn't work.  Switched over to RCA connectors instead and worked for about a month.  Then the Ipod connection wouldn't work.  And now the right channel has no sound.  To repair the HDMI is a new card for $175 and don't know if it will fix channel problem.  Shame on you Pioneer.  I bet there are thousands like me.  You told me to take a flyer after I owned it 1 year.  Fortunately I have a 20 year old Yamaha that works great.  I sure hope a lot of people read this.  You should have a \\""recall\\"" program like car companies because surely these problems are defects.",0.7717,positive
OREI 3 in 1 Schuko Travel Adapter Plug with USB and Surge Protection,Electronics,4,"It's hard to &#34;love&#34; an adapter, but, as this one did the trick wherever I needed it, what's not to like?  Used it in Istanbul, Prague and Amsterdam as well as onboard the cruise ship.",-0.0811,negative
Mp4 Mp3 Player 2GB 1.8'' LCD with Fm Radio BLUE,Electronics,1,not working,0,neutral
